"safegraph_place_id","parent_safegraph_place_id","location_name","brands","latitude","longitude","street_address","city","region","postal_code","iso_country_code","polygon_wkt","polygon_class","includes_parking_lot","is_synthetic"
sg:1fe72570ab5f4c4cb22191bad90788bd,,Glorias Dressmaking,,39.94699,-75.157433,245 S 10th St # 1,Philadelphia,PA,19107,US,"POLYGON ((-75.15760575130116 39.94699572752729, -75.15759864239953 39.94703042733438, -75.15725840523373 39.94698338981383, -75.15726712241303 39.94694586258848, -75.15760575130116 39.94699572752729))",OWNED_POLYGON,,false
sg:41b98f75b9fd4e3d8ce297a36a26336b,,Philly Star Events,,39.949585,-75.162822,1315 Walnut St Ste 320,Philadelphia,PA,19107,US,"POLYGON ((-75.16271 39.949889, -75.162847 39.949261, -75.162853 39.949231, -75.163067 39.949258, -75.162922 39.949926, -75.162708 39.949899, -75.16271 39.949889))",SHARED_POLYGON,false,false
sg:6f7492094ea74bb6a1d757a12fe8dfd3,sg:2dc029e7af6d4eb4b4235cc2e89c82fa,Dunkin',Dunkin',39.952464,-75.162303,1 Penn Sq E,Philadelphia,PA,19107,US,"POLYGON ((-75.162102 39.952867, -75.162164 39.952578, -75.162144 39.95257, -75.162189 39.952355, -75.162413 39.952383, -75.162305 39.952893, -75.162102 39.952867))",SHARED_POLYGON,false,false
sg:42863f1cf594482e8e6be2fffdea5b34,,Super Acucare Inc,,39.953144,-75.156602,46 N 10th St,Philadelphia,PA,19107,US,"POLYGON ((-75.156499 39.953074, -75.156765 39.953108, -75.156742 39.953212, -75.156598 39.953193, -75.156594 39.953204, -75.156476 39.953188, -75.156499 39.953074))",SHARED_POLYGON,false,false
sg:68936ce0321a48c894f94a9db896c5c2,,Nemours duPont Pediatrics Philadelphia,,39.950177,-75.154886,833 Chestnut St Ste 300,Philadelphia,PA,19107,US,"POLYGON ((-75.154582 39.949793, -75.154585 39.949778, -75.154607 39.94978, -75.154613 39.949751, -75.154771 39.949772, -75.154764 39.949802, -75.155394 39.949883, -75.155203 39.950762, -75.154725 39.9507, -75.15472 39.9507, -75.154779 39.950429, -75.154469 39.950389, -75.15448 39.950341, -75.154465 39.950329, -75.154582 39.949793))",SHARED_POLYGON,false,false
sg:94760b95a83c4b079a62162a57a7c83b,,The Bike Stop,,39.948318,-75.159973,206 S Quince St,Philadelphia,PA,19107,US,"POLYGON ((-75.159998 39.948402, -75.159976 39.948399, -75.159974 39.94841, -75.159883 39.948397, -75.159888 39.948376, -75.159878 39.948375, -75.159894 39.948306, -75.159903 39.948307, -75.159922 39.948223, -75.16011 39.948249, -75.160098 39.948299, -75.159997 39.948286, -75.159972 39.948273, -75.159969 39.948288, -75.160059 39.948301, -75.160053 39.948329, -75.160089 39.948334, -75.160073 39.948404, -75.160092 39.948407, -75.160088 39.948422, -75.159996 39.948412, -75.159998 39.948402))",OWNED_POLYGON,false,false
sg:9eabe31d728c4a6b91f1fde381dd4e13,,Sal's on 12th,,39.948729,-75.16073,200 S 12th St Between Walnut & Locust,Philadelphia,PA,19107,US,"POLYGON ((-75.160861 39.948552, -75.160797 39.948852, -75.160625 39.94883, -75.160687 39.948535, -75.160697 39.948529, -75.160861 39.94855, -75.160861 39.948552))",SHARED_POLYGON,false,false
sg:ad1eaa49253347eca0dbbded4e398507,,Khmer Grill,,39.955287,-75.156667,1016 Race St,Philadelphia,PA,19107,US,"POLYGON ((-75.156799 39.95496, -75.156702 39.955419, -75.156562 39.955401, -75.156577 39.955329, -75.15661 39.955333, -75.156616 39.955304, -75.156585 39.9553, -75.156662 39.954943, -75.156799 39.95496))",SHARED_POLYGON,false,false
sg:a7e506226e774d7e88d93a3f9cf593a5,sg:4dded547308a4414b57bbb493c4eddae,Jefferson Hospital Radiology,,39.949865,-75.158036,111 S 11th St Ste 3350,Philadelphia,PA,19107,US,"POLYGON ((-75.158516 39.949473, -75.158569 39.94946, -75.158602 39.949486, -75.158606 39.949512, -75.158692 39.949523, -75.15856 39.950144, -75.158539 39.950141, -75.157144 39.949966, -75.157177 39.949814, -75.157181 39.949783, -75.157212 39.94964, -75.157186 39.949636, -75.157199 39.949577, -75.157223 39.94958, -75.157272 39.949351, -75.157378 39.949364, -75.157375 39.949377, -75.15771 39.949419, -75.157715 39.949396, -75.157814 39.949408, -75.157809 39.94943, -75.157912 39.949443, -75.157922 39.949398, -75.158516 39.949473))",SHARED_POLYGON,false,false
sg:b5c663a4ebd84f548ddf0fc3d905cc44,,Lucky Strike Entertainment,Lucky Strike Entertainment,39.950376,-75.163217,1336 Chestnut St,Philadelphia,PA,19107,US,"POLYGON ((-75.162995 39.950672, -75.163145 39.950039, -75.163439 39.95008, -75.16329 39.950713, -75.162995 39.950672))",OWNED_POLYGON,false,false
