origin_cbg,destination_cbg,expected_contacts
100030127001,100030127001,25.76990569018049
100030127001,100030127003,33.791755891575136
100030127001,110010096031,33.791755891575136
100030127001,261251650003,18.77319771754174
100030127001,420293024002,18.77319771754174
100030127001,420293026005,37.54639543508348
100030127001,421010100002,22.52783726105009
100030127003,100030127001,16.38330683140962
100030127003,100030127003,10.415744083781826
100030127003,110010096031,21.483225891460048
100030127003,261251650003,11.935125495255582
100030127003,420293024002,11.935125495255582
100030127003,420293026005,11.609256633307385
100030127003,421010100002,14.3221505943067
110010096031,100030127001,16.38330683140962
110010096031,100030127003,10.415744083781826
110010096031,110010096031,10.415744083781826
110010096031,261251650003,11.935125495255582
110010096031,420293024002,11.935125495255582
110010096031,420293026005,11.609256633307385
110010096031,421010100002,14.3221505943067
201550018002,201550018002,104.34887051617875
201550018002,240276011042,35.424104224286424
201550018002,421010020001,15.7352069017956
201550018002,421010081011,18.88224828215472
201550018002,421010091002,129.5490679933473
201550018002,421010092002,19.688897322490824
201550018002,421010094002,18.88224828215472
201550018002,421019800001,90.52119481486662
201550018002,421019808001,18.88224828215472
240276011042,201550018002,16.982672559769792
240276011042,240276011042,2.950259638949308
240276011042,421010020001,1.9825865861530263
240276011042,421010081011,1.1414348162167893
240276011042,421010091002,22.17418267606209
240276011042,421010092002,4.161042881397498
240276011042,421010094002,1.1414348162167893
240276011042,421019800001,7.429471953940834
240276011042,421019808001,1.1414348162167893
261251650003,100030127001,8.874027744392922
261251650003,100030127003,5.641693885679594
261251650003,110010096031,5.641693885679594
261251650003,261251650003,3.0558267987089316
261251650003,420293024002,6.464667717426655
261251650003,420293026005,6.288160657422259
261251650003,421010100002,3.7022935704515976
340057004074,340057004074,0.9209589552662516
340057004074,421019804001,1.4999513209135118
340057040071,340057040071,1.247101136728538
390351056022,390351056022,2.0710666034539753
390351056022,390351881041,3.1405754269911603
390351056022,420171045031,2.673772058842963
390351056022,420912019013,3.7432808823801484
390351056022,421010160003,3.1405754269911603
390351056022,421010160005,3.4079526328754564
390351056022,421010168006,4.210084250528346
390351056022,421010175003,2.0710666034539753
390351056022,421010241001,2.0710666034539753
390351056022,421010273002,3.2085264706115555
390351056022,421010278003,3.2085264706115555
390351056022,421010282003,2.673772058842963
390351056022,421010290001,4.477461456412642
390351056022,421010293001,3.1405754269911603
390351056022,421010301002,3.1405754269911603
390351056022,421010382002,3.9427070446440498
390351056022,421019805001,2.338443809338272
390351881041,390351056022,6.487233437204623
390351881041,390351881041,4.762383786292316
390351881041,420171045031,4.05452089825289
390351881041,420912019013,5.676329257554046
390351881041,421010160003,4.762383786292316
390351881041,421010160005,5.167835876117605
390351881041,421010168006,6.384192145593472
390351881041,421010175003,6.487233437204623
390351881041,421010241001,6.487233437204623
390351881041,421010273002,4.865425077903467
390351881041,421010278003,4.865425077903467
390351881041,421010282003,4.05452089825289
390351881041,421010290001,6.789644235418761
390351881041,421010293001,4.762383786292316
390351881041,421010301002,9.730850155806934
390351881041,421010382002,5.978740055768184
390351881041,421019805001,7.298137616855201
420171001022,420171001022,3.6069865778673944
420171001022,420171001032,7.490478058373379
420171001022,421010331024,4.39288036875239
420171001022,421010347023,3.4688941413292533
420171001022,421010348011,6.3365307322361275
420171001022,421010348031,4.980436092380682
420171001022,421010348032,6.566331816169088
420171001022,421010349002,4.173378180376355
420171001022,421010351001,4.39288036875239
420171001022,421010351002,4.867157008642206
420171001022,421010352001,13.178801121038324
420171001022,421010352003,4.9592719712613516
420171001022,421010353011,17.45515948959623
420171001022,421010353012,12.8319117069054
420171001022,421010353013,4.888321129761536
420171001022,421010353021,5.214046422775132
420171001022,421010353022,6.566331816169088
420171001022,421010362014,6.357694853355458
420171001022,421010362023,5.306161385394276
420171001022,421010362031,3.4688941413292533
420171001022,421010362033,10.403685807974924
420171001032,420171001022,3.6069865778673944
420171001032,420171001032,6.165049709864939
420171001032,420171001042,6.361311651562387
420171001032,420171001053,4.925427521288949
420171001032,420171002082,4.127087053361773
420171001032,420171002093,4.468449196401226
420171001032,420171002094,3.4517529712777897
420171001032,421010325004,4.468449196401226
420171001032,421010330004,4.468449196401226
420171001032,421010331024,4.39288036875239
420171001032,421010347023,3.4688941413292533
420171001032,421010348011,10.804979928637353
420171001032,421010348013,3.928914398767513
420171001032,421010348031,4.980436092380682
420171001032,421010348032,6.566331816169088
420171001032,421010349001,4.468449196401226
420171001032,421010349002,8.965665910574513
420171001032,421010351001,4.39288036875239
420171001032,421010351002,4.867157008642206
420171001032,421010352001,13.178801121038324
420171001032,421010352003,4.9592719712613516
420171001032,421010353011,23.141137059074634
420171001032,421010353012,15.836819758543067
420171001032,421010353013,4.888321129761536
420171001032,421010353021,9.682495619176358
420171001032,421010353022,10.018084787446877
420171001032,421010355003,2.284891624438612
420171001032,421010357012,4.468449196401226
420171001032,421010361001,3.8985978909179124
420171001032,421010361003,5.239132649838281
420171001032,421010362011,3.928914398767513
420171001032,421010362012,3.928914398767513
420171001032,421010362014,6.357694853355458
420171001032,421010362021,4.345442810558035
420171001032,421010362022,5.362139035681472
420171001032,421010362023,10.668300421075749
420171001032,421010362024,3.004908051637667
420171001032,421010362031,9.601716630447779
420171001032,421010362032,5.362139035681472
420171001032,421010362033,14.749128618532957
420171001032,421010363011,5.685977569478403
420171001032,421010363012,4.157403561211375
420171001032,421010363021,6.132822489118526
420171001032,421010363022,6.579667408758648
420171001032,421010363031,5.239132649838281
420171001032,421010363032,3.4517529712777897
420171001032,421010363033,3.4517529712777897
420171001032,421010365013,4.468449196401226
