safegraph_place_id,origin_census_block_group,estimated_visits,expected_contacts
sg:004461a947e94c5290bd5f3e0488a16f,421010247001,20.85410111957757,84.4595824955591
sg:004461a947e94c5290bd5f3e0488a16f,421010093002,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,480291101003,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,420912005072,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,081170001005,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,421010188005,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,421010092002,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,421010147001,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,421010077001,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,421010041011,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,421010364001,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,421010139002,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,421010168003,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,421010037012,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,290718009023,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,421010300007,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,421010072005,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,421010200002,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,420912056002,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,420454105005,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,421010060005,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,421010030023,16.683280895662058,67.89765030553113
sg:004461a947e94c5290bd5f3e0488a16f,421010103002,16.683280895662058,67.89765030553113
