GEOID,NAME,B01003_001_pop,B01001_002_male,B01001_026_female,B02001_002_White_alone,B02001_003_Black_or_African_American_alone,B02001_004_American_Indian_and_Alaska_Native_alone,B02001_005_Asian_alone,B02001_006_Native_Hawaiian_and_Other_Pacific_Islander_alone,B02001_007_Some_other_race_alone,B02001_008_Two_or_more_races:,B08013_001_RAVEL_TIME_TO_WORK,B01001_<20,B01001_20-34,B01001_35-54,B01001_55-74,B01001_75+,B23009_002_own_child_under18,B23009_023_no_child_under18
420010301011,"Block Group 1, Census Tract 301.01, Adams County, Pennsylvania",2590,0.033204633204633204,0.5077220077220077,0.9413127413127413,0.015444015444015444,0.0,0.0,0.0,0.010038610038610039,0.033204633204633204,39880.0,0.2332046332046332,0.1335907335907336,0.2714285714285714,0.3054054054054054,0.05366795366795367,0.3360107095046854,0.6639892904953146
420010301021,"Block Group 1, Census Tract 301.02, Adams County, Pennsylvania",1130,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,89390.0,0.2663716814159292,0.16371681415929204,0.28407079646017697,0.24513274336283186,0.04070796460176991,0.36,0.64
420010301022,"Block Group 2, Census Tract 301.02, Adams County, Pennsylvania",2393,0.0058503969912244045,0.5089845382365232,0.9941496030087756,0.0,0.0,0.0,0.0,0.0,0.0058503969912244045,70845.0,0.2143752611784371,0.08608441287087339,0.2858336815712495,0.33639782699540327,0.05516088591725867,0.3123249299719888,0.6876750700280112
420010301023,"Block Group 3, Census Tract 301.02, Adams County, Pennsylvania",2283,0.03153745072273324,0.48751642575558474,0.9610162067455102,0.007446342531756461,0.0,0.0,0.0,0.0,0.03153745072273324,58545.0,0.23390275952693823,0.22295225580376699,0.3701270258431888,0.143670608848007,0.029347349978098992,0.439622641509434,0.560377358490566
420010302001,"Block Group 1, Census Tract 302, Adams County, Pennsylvania",3408,0.01085680751173709,0.5313967136150235,0.8485915492957746,0.00528169014084507,0.0029342723004694834,0.02112676056338028,0.0,0.11120892018779342,0.01085680751173709,89730.0,0.2743544600938967,0.153462441314554,0.30633802816901406,0.2062793427230047,0.042546948356807515,0.3982494529540481,0.6017505470459519
420010302002,"Block Group 2, Census Tract 302, Adams County, Pennsylvania",2022,0.0034619188921859545,0.4821958456973294,0.9391691394658753,0.00791295746785361,0.0,0.0,0.0,0.04945598417408507,0.0034619188921859545,48445.0,0.22601384767556876,0.19980217606330367,0.22403560830860533,0.2744807121661721,0.07566765578635015,0.351985559566787,0.648014440433213
420010303001,"Block Group 1, Census Tract 303, Adams County, Pennsylvania",2272,0.013644366197183098,0.44454225352112675,0.9625880281690141,0.0,0.0,0.023767605633802816,0.0,0.0,0.013644366197183098,48095.0,0.238556338028169,0.12984154929577466,0.3274647887323944,0.2227112676056338,0.04621478873239437,0.4364820846905538,0.5635179153094463
420010303002,"Block Group 2, Census Tract 303, Adams County, Pennsylvania",2084,0.007197696737044146,0.47648752399232247,0.9001919385796545,0.02015355086372361,0.0,0.0,0.0,0.07245681381957773,0.007197696737044146,98285.0,0.2595969289827255,0.2581573896353167,0.2317658349328215,0.21833013435700577,0.02831094049904031,0.4489402697495183,0.5510597302504817
420010304001,"Block Group 1, Census Tract 304, Adams County, Pennsylvania",1894,0.0,0.4788806758183738,0.9435058078141499,0.0,0.0,0.056494192185850056,0.0,0.0,0.0,102865.0,0.20116156282998943,0.09028511087645195,0.2682154171066526,0.3167898627243928,0.06335797254487856,0.3004032258064516,0.6995967741935484
420010304002,"Block Group 2, Census Tract 304, Adams County, Pennsylvania",960,0.004166666666666667,0.49375,0.696875,0.026041666666666668,0.0,0.0,0.0,0.27291666666666664,0.004166666666666667,65560.0,0.346875,0.15104166666666666,0.2625,0.22083333333333333,0.009375,0.57847533632287,0.42152466367713004
420010304003,"Block Group 3, Census Tract 304, Adams County, Pennsylvania",1113,0.0026954177897574125,0.4833782569631626,0.9838274932614556,0.011680143755615454,0.0,0.0,0.0,0.0017969451931716084,0.0026954177897574125,23830.0,0.18957771787960467,0.23000898472596587,0.33782569631626236,0.18328840970350405,0.05929919137466307,0.3101449275362319,0.6898550724637681
420010304004,"Block Group 4, Census Tract 304, Adams County, Pennsylvania",1095,0.0,0.5470319634703197,0.9799086757990868,0.0,0.0,0.0,0.0,0.02009132420091324,0.0,52455.0,0.1589041095890411,0.15251141552511416,0.2639269406392694,0.4246575342465753,0.0,0.32697547683923706,0.6730245231607629
420010304005,"Block Group 5, Census Tract 304, Adams County, Pennsylvania",748,0.0,0.4786096256684492,0.9237967914438503,0.0,0.0,0.0,0.0,0.07620320855614973,0.0,48990.0,0.29411764705882354,0.1697860962566845,0.20320855614973263,0.3074866310160428,0.02540106951871658,0.41706161137440756,0.5829383886255924
420010305001,"Block Group 1, Census Tract 305, Adams County, Pennsylvania",2216,0.02572202166064982,0.4675090252707581,0.8546931407942239,0.004061371841155234,0.0,0.0,0.0,0.11552346570397112,0.02572202166064982,56350.0,0.2292418772563177,0.20667870036101083,0.22337545126353792,0.2802346570397112,0.050992779783393505,0.35566188197767146,0.6443381180223285
420010305002,"Block Group 2, Census Tract 305, Adams County, Pennsylvania",1580,0.016455696202531647,0.5518987341772152,0.9259493670886076,0.012025316455696202,0.0,0.002531645569620253,0.0,0.043037974683544304,0.016455696202531647,44775.0,0.18354430379746836,0.15569620253164557,0.2746835443037975,0.2708860759493671,0.08037974683544304,0.31669865642994244,0.6833013435700576
