visitor,home_geohash,home_cbg
a3d93f5fe9410776e1e79f0945c870a2fddb8bbf3e1eae88a3163ebf3afe8f0f,dr47pg4,421010063004
a97c410fdcabda93ad3506717fd4920337fc7b9025fec6fefe342c8a73e21e8f,dr47r2b,420454003014
146a0df3726c3162fa9204d3f3fa013d5fbed8dce440fc04745505f6f608e6eb,dr47r9e,420454003011
8fe018c0559c0ba9c72dd4bac6d9a3f4b784b38eed20fee9c7f41362751935dd,dr47ruy,421010112004
56b8e813a43a07f2b672c31a1d38f0cab0bfb33e56473a58fbb1f7477d14ad6a,dr47ph1,420454016002
e4687c9f7a7b7f69ff5882a576622345c1e3fd236be52689343047ddd121f500,dr47pfz,421010062004
969b7ef6284cc2109108d8f595e0cca161b555dbf811adb2c629069136bc69e0,dr47rur,421010102001
99a4ef542346bba6b971d95b5f819743d9f6ba47d703b042230801d3a7d8eab7,dr47rsk,421010100002
afab4006aa4c342ec7d5c3603188ae92ae38325269e0d0c1264800fd786d273e,dr47qy3,420454089003
d304a5872101c8f3c1dbd566fd707a7168cabb8525074a61b77471d99ee6efa7,dr47rjw,421010098012
93cb7e908c3a1d0166437ca545d0d9c536b209d3c46ef6f6ed7ea229ae948d4e,dr47rp4,420912055033
8cecc624150da9d3d189d8fc3e14f7b1cbc8b0013fa7eeb32d71a43745b6d042,dr47rbk,421010081012
a3d352429db6cef3e751e87275f8b1a9d0dbed0cbb981051db9ffb92aaa09834,dr47pfy,421010062004
01f53db810a59a6618843598f0b1995909317b05d5c65cce201e1444902f4f90,dr47rmk,421010098021
32e06d07de4c168666fd4b6cd77b9c972b6bf2c26a46d54f0414334b667e8014,dr47pzk,421010065006
4c27f161eb89dbb6e22bb9a0174b32bfede31bbfeb738bcf101bd02575286bf8,dr47pde,420454027001
d38f7f43af1be84300f9e464e2b712e8fe486ecb563d5948c7f6a14c399aac12,dr47pzt,421010072006
9031b1f1e4b95637fdae8aaf285d4de069be930a20c89a35c35bfb37d74f215a,dr47rfs,421010083022
c713d0d8b3dc4e714419feb798e4a46e82b70cecb995bffb0d9ee7fa3f6d334e,dr47put,421010064001
2ce519e3ad6caa4ba3eda6af7a12ae468378c81b7bd63d3f689fefad5054c672,dr47rfj,421010084006
ff41a6e50c9114ee2066e06f990ff53200ec67a915bc3a6a2f0c99275570a3d1,dr47pcy,421010060001
fe0d6c4bf1833c56812d5e8eaa9e9afd61a4a26e91aaed4d5a997b0ee0a5b5d9,dr47qe7,420454011041
96e3ab72edd03736ea1deb428db1735e49f50ef14a44b21426208bedfe6a4564,dr47rt6,421010115004
aab7c36d541f35531d414ca4ece86f5036debb6ada9a841a384b191c59a2f3f3,dr47r27,420454003012
e0eb0a139f2faa273804e09577e39f3bf3bf27a5efaef20d596fed50bcfac59f,dr47rgf,421010096001
462cda87c3248098d0862486c774467468bd1b916c28cc231cf3beceb72323e3,dr47pf4,421010060004
dc1feee41addf4cf0bdcf472dd2eff7ff6e449e9760780c6fd187015a44e3daa,dr47r5g,420454005003
26c2bea5b03cf00548141623b38fe498de99046c434cc9a7b7793c8627dea8c6,dr47pfz,421010062004
87848785591103b1b396c23f54c43b789b9b1c67b1b5af0dcea5202e22f872e4,dr47r3y,420454004011
83dcc8adff7dc0a7f494c77e23a11397426dcc363473f45e3a804ce77e40b517,dr47rg8,421010096005
af8aafa02746bfc1a8b185132154fc1d37ab25c4a083e19927861975bacf89a8,dr47pg5,421010063004
2ab4b340010102cf38ae457cf20d7c70729ab72591806a2c2214dba213876907,dr47pk5,420454026001
4f8aeb662050a7a16ac5e8acca4b805039da78c6c6868cb5e93141d76ab633e6,dr47rbr,421010081011
f59375c14256ede94db4722dcf7051bb593340ae770e77fc334510d2eede8b90,dr47rf5,421010083022
7fb7b1c4b7a5f12fac66020977215fd13fc399f39ab867b5f52479f1ade53c76,dr47rus,421010101002
9dedc690fc37c07b5db49c0175f72fa0c27947a3e7d6561c3bfa6f6168658303,dr47pdv,420454024001
449b3484ca44dd8558c748ca153d997f1e328596c14a9ad652dabd2cbf40fe19,dr47qj2,420454085004
