safegraph_place_id,latitude,longitude,location_name,street_address,raw_visit_counts,distance_from_home,weighted_visit_counts,count_home_cbgs,visits_top_10_hours
sg:592e5282a7144c41a066fd7b7b5ac986,39.955427,-75.238206,Torres Grocery,5800 Delancey St,63,2346.0,3906.0,7,2.7
sg:6d84d2d06ac04a79a66a5eb439b7b2fc,39.924007,-75.142546,McDonald's,1601 S Columbus Blvd,75,5619.0,600.0,12,2.6
sg:8c63e7226073408fa396336cc36e9c9a,39.953722,-75.202849,Enjay's Pizza,210 S 40th St,11,9796.0,11561.0,1,1.0
sg:ad7b5c6473684375b0d4b2b23b5ce16e,39.992094,-75.074055,Republic Services,3000 Hedley St,25,6146.0,425.0,3,1.1
sg:b0fa26b088d2476382706dd9958c4037,39.91356500000001,-75.15464300000002,Whitman Plaza,330 W Oregon Ave,594,1766.0,15444.0,78,13.1
sg:b197927537814001bf21c25d0249c515,39.94592100000001,-75.239017,Dunkin',5716 Baltimore Ave,87,1344.0,783.0,13,3.0
sg:b71a9bc32eb94ea1b57d1c4b55b75eb9,39.92635,-75.14744,Musi,100 Morris St,36,345.0,7596.0,3,1.8
sg:c995446867ff4c6bac4fd212a1f08f42,39.986243,-75.103385,Campbell Square Park,2525 E Allegheny Ave,55,637.0,2750.0,3,2.2
sg:decd3a3587984ec087b06a6afd445bf1,39.968789,-75.160526,The Playhouse 822,822 N Broad St,11,11399.0,143.0,1,1.0
sg:f3fa69b7672a4b799de9a07bc0c7a269,39.954173,-75.227991,Hanny's Grocery,5266 Delancey St,35,1150.0,490.0,3,1.7
sg:1c515b2f8908403d923b70f9383aac77,39.983767,-75.115563,Bentoulis Pizza,2347 E Somerset St,72,1498.0,900.0,6,2.4
sg:204f76d0bec14968803d208697759820,39.938772,-75.14475300000002,National Museum Of Murals And Mosaics,748 S Front St,11,15596.0,1529.0,1,1.1
sg:4d8e3db136e146249303a38f8a940052,40.03762,-75.12943299999998,Jason's Cozyday,420 W Chew Ave,16,1907.0,128.0,4,1.2
sg:4f8700d04f5444758d30533e8a879a7b,40.022586,-75.12461400000002,Express Graph X & Printing,4725 Rising Sun Ave,17,2243.0,493.0,3,1.1
sg:50b87efe267c4525bc5bcc51018cf829,39.936421,-75.195623,El Patio Cafe Restaurant,1400 S 31st St,30,3359.0,600.0,2,1.5
sg:5ad4aa858ca94c5e93850b8b4f2c0004,39.956654,-75.196489,Orangetheory Fitness,3711 Market St,33,7828.0,1584.0,5,1.9
sg:7ee14c693bd64b45af084d26ec0ddea9,39.953026,-75.161804,Autograph Collection Hotels,21 N Juniper St,43,19990.0,9202.0,10,2.0
sg:84de763bfaa64b3383d60572d12ce9e7,40.013147,-75.194294,Frank's Pizza,3600 Fisk Ave,14,,301.0,1,1.0
sg:976658d47bad428686dd7c3e0e9a4870,40.044508,-75.01753000000002,The Liberty Bell Diner,8445 Frankford Ave,51,2218.0,663.0,10,2.0
sg:af98211f19434ad6b9b2400277146dea,40.061687,-75.050512,Pelbano Playground,8101 Bustleton Ave,96,2734.0,6000.0,4,4.2
sg:e31e66656a1a4cef8c6f853287e44bfa,39.949366,-75.212715,Milk & Honey Market,4435 Baltimore Ave,19,1621.0,380.0,2,1.1
sg:e753d5e1c9eb4a18b2655908c5b85441,39.923574,-75.245254,Dunkin',7000 Chester Ave,40,4397.0,400.0,4,1.8
sg:00dd8e12da6f4c7488209888e3611ad4,39.976183,-75.157044,Trend Eye Care,1501 N Broad St Ste 7,39,5807.0,702.0,5,1.2
sg:01c85aef0a014553a46218dad70450f1,40.04358,-75.159446,GameStop,5301 Chew Ave Ste B,15,1555.0,315.0,5,1.1
sg:11886e9fb8bc48c1b83970e51ae00c00,40.105504,-75.03286800000002,Sunoco,10000 Verree Rd,20,3058.0,190.0,3,1.4
sg:16310f35ca88458485bf441a17e8bb94,39.953367,-75.148078,The United States Mint,151 N Independence Mall E,50,20740.0,7125.0,2,1.9
sg:18d8bb5108db40bfadbee81ac7a8c919,40.068779,-75.092088,Burholme Park Driving Range,401 Cottman Ave,47,3047.0,1175.0,5,2.0
sg:509877a1c2fc48038db412319e265766,40.031914,-75.212769,Manhattan Bagel,6001 Ridge Ave,12,3927.0,96.0,1,1.1
sg:5d3bd20c38564744a1e74b2499a0a104,40.092926,-74.958642,Sam's Club,1000 Franklin Mills Cir,489,6575.0,15159.0,85,11.4
sg:5e8319132cb2484f8bce9fac7203382f,39.992265,-75.139875,ConocoPhillips,433 W Lehigh Ave,13,951.0,117.0,2,1.1
sg:663a0a3ba04440e7903f90d99a207dcb,40.043751,-75.02246600000002,Liberty Licensing & Consulting,8230 Frankford Ave Ste 8,74,3957.0,3182.0,9,2.3
sg:6e2c0cc6acb140849806e5ddd2d17734,39.953639,-75.188069,Fuel,3200 Chestnut St,37,8066.0,2479.0,3,1.6
sg:ba505058b8bd4162968fa7659fa222b8,39.93399,-75.21718299999998,Woodland Academy Child Development Center,5401grays Ave,33,3556.0,3465.0,1,1.4
sg:bee4bc03a0ba46f0a083ff527f09ba38,39.955694,-75.198693,Koreana,3801 Chestnut St,80,5171.0,2280.0,2,2.0
sg:ead6f2cf107a44f98b3db20b1af59f70,40.067947,-75.043225,Pennypack Creek Park,Pennypack Creek Park,1813,4734.0,76146.0,147,44.5
sg:0040a8f99bbd4227bd072651541dcc5d,39.932348,-75.161124,Triangle Tavern,1338 S 10th St,22,966.0,220.0,6,1.2
sg:032ccfa693b24798a99b6a298189df6a,40.036887,-75.031645,Taproom,7701 Walker St,32,,3824.0,1,1.2
sg:0f876619d93144e5a464b2ceeb137800,39.979,-75.185503,The Nesting House at Kith Kin,3060 W Jefferson St,18,5212.0,657.0,1,1.0
sg:104dcac2c86d42029ce3d52f095e5e61,39.973675,-75.233005,Choi Fashion Deli,5549 Master St,48,6010.0,4272.0,3,1.8
sg:11a59c1b2c8b475098ff817453909b40,39.908521,-75.162501,South Philly Turf Club,700 Packer Ave,53,13071.0,1060.0,7,2.2
sg:1ada95d75a624697ab87f4bff333f3dc,39.99842,-75.110253,Cafe Mi Quang,3324 Kensington Ave,60,7947.0,3720.0,3,2.1
sg:1e4bb7c0e12340738bc4bf745322c682,40.070786,-75.087654,Jeanes Hospital,7600 Central Ave,205,6715.0,27880.0,14,5.8
sg:45dc9df5fcea4b149d12d44610ba9503,39.915025,-75.17657700000002,Tankie's Tavern,1720 W Moyamensing Ave,10,8933.0,10585.0,1,1.0
sg:4980176072304828bc9d028e3fbb5e7c,39.99910300000001,-75.220031,Inglis House,2600 Belmont Ave,101,5778.0,19998.0,12,2.6
sg:4a7f546f88d04913a2fc0de11589ba11,40.03121,-75.054698,Dunkin',6608 Frankford Ave,15,,6090.0,1,1.0
sg:51d30732efac4b5bae9ea5043e5144ab,40.060562,-75.044861,Al's Italiano Pizzeria & Ristorante,8202 Roosevelt Blvd,17,1470.0,425.0,3,1.1
sg:58dd9dec5ca94e138cd8553481a34190,40.012436,-75.09660799999997,Piccoli Playground,1501 E Bristol St,35,4084.0,1470.0,7,1.8
sg:87255204ef9b497daf8b3281e3b4bb12,39.997736,-75.17377900000002,Children's World Daycare Center,2601 W Seltzer St,45,5974.0,1080.0,6,1.4
