January_01,January_02,January_03,January_04,January_05,January_06,January_07,January_08,January_09,January_10,January_11,January_12,January_13,January_14,January_15,January_16,January_17,January_18,January_19,January_20,January_21,January_22,January_23,January_24,January_25,January_26,January_27,January_28,January_29,January_30,January_31,February_01,February_02,February_03,February_04,February_05,February_06,February_07,February_08,February_09,February_10,February_11,February_12,February_13,February_14,February_15,February_16,February_17,February_18,February_19,February_20,February_21,February_22,February_23,February_24,February_25,February_26,February_27,February_28,February_29,March_01,March_02,March_03,March_04,March_05,March_06,March_07,March_08,March_09,March_10,March_11,March_12,March_13,March_14,March_15,March_16,March_17,March_18,March_19,March_20,March_21,March_22,March_23,March_24,March_25,March_26,March_27,March_28,March_29,March_30,March_31,April_01,April_02,April_03,April_04,April_05,April_06,April_07,April_08,April_09,April_10,April_11,April_12,April_13,April_14,April_15,April_16,April_17,April_18,April_19,April_20,April_21,April_22,April_23,cbg
13.0,14.0,13.0,16.0,18.0,13.0,12.0,13.0,11.0,11.0,14.0,10.0,9.0,11.0,11.0,11.0,10.0,12.0,14.0,9.0,14.0,12.0,9.0,12.0,17.0,13.0,11.0,7.0,9.0,10.0,13.0,17.0,11.0,14.0,11.0,11.0,9.0,16.0,16.0,11.0,10.0,10.0,8.0,5.0,11.0,10.0,8.0,10.0,7.0,9.0,11.0,6.0,12.0,10.0,8.0,6.0,10.0,10.0,12.0,15.0,13.0,9.0,6.0,9.0,9.0,14.0,7.0,6.0,10.0,5.0,7.0,9.0,8.0,12.0,9.0,12.0,10.0,11.0,6.0,11.0,11.0,11.0,11.0,10.0,11.0,13.0,9.0,9.0,9.0,11.0,12.0,12.0,13.0,12.0,12.0,11.0,12.0,12.0,14.0,16.0,10.0,9.0,9.0,12.0,11.0,8.0,9.0,10.0,10.0,12.0,9.0,13.0,12.0,8.0,421010267003
31.0,20.0,30.0,31.0,25.0,23.0,21.0,27.0,21.0,25.0,32.0,24.0,19.0,17.0,21.0,24.0,25.0,30.0,23.0,16.0,19.0,19.0,25.0,26.0,32.0,25.0,21.0,23.0,21.0,19.0,21.0,33.0,31.0,34.0,35.0,31.0,28.0,38.0,31.0,26.0,34.0,28.0,28.0,28.0,29.0,30.0,27.0,22.0,22.0,22.0,24.0,20.0,26.0,21.0,26.0,21.0,26.0,26.0,26.0,31.0,28.0,26.0,22.0,27.0,28.0,35.0,24.0,30.0,30.0,32.0,27.0,32.0,37.0,36.0,31.0,31.0,34.0,33.0,28.0,23.0,29.0,35.0,28.0,34.0,38.0,38.0,32.0,33.0,40.0,35.0,38.0,38.0,39.0,33.0,39.0,35.0,40.0,39.0,36.0,42.0,39.0,42.0,43.0,34.0,30.0,37.0,33.0,34.0,36.0,34.0,33.0,37.0,35.0,32.0,421010305013
20.0,21.0,18.0,28.0,18.0,20.0,14.0,21.0,19.0,16.0,22.0,18.0,15.0,14.0,12.0,15.0,13.0,21.0,22.0,13.0,16.0,15.0,19.0,21.0,16.0,16.0,9.0,12.0,9.0,16.0,21.0,31.0,17.0,25.0,22.0,26.0,22.0,30.0,29.0,26.0,23.0,24.0,25.0,15.0,22.0,21.0,21.0,15.0,9.0,16.0,15.0,22.0,20.0,17.0,12.0,12.0,11.0,15.0,19.0,27.0,24.0,15.0,18.0,15.0,17.0,22.0,18.0,18.0,13.0,17.0,15.0,23.0,23.0,23.0,21.0,22.0,20.0,22.0,17.0,18.0,17.0,19.0,18.0,19.0,13.0,15.0,18.0,19.0,21.0,17.0,21.0,27.0,26.0,24.0,26.0,22.0,27.0,29.0,28.0,23.0,19.0,24.0,27.0,27.0,29.0,25.0,29.0,29.0,23.0,26.0,26.0,26.0,23.0,26.0,421010192002
5.0,5.0,10.0,14.0,5.0,8.0,6.0,6.0,7.0,7.0,11.0,6.0,7.0,5.0,4.0,4.0,10.0,11.0,6.0,6.0,7.0,7.0,4.0,6.0,4.0,5.0,3.0,6.0,6.0,3.0,6.0,7.0,9.0,8.0,3.0,6.0,7.0,10.0,12.0,4.0,8.0,8.0,5.0,7.0,12.0,10.0,10.0,5.0,5.0,9.0,7.0,11.0,9.0,5.0,6.0,5.0,6.0,5.0,9.0,15.0,10.0,7.0,7.0,5.0,6.0,14.0,11.0,11.0,10.0,8.0,9.0,6.0,7.0,12.0,9.0,8.0,9.0,11.0,8.0,8.0,7.0,10.0,12.0,8.0,10.0,9.0,13.0,13.0,11.0,12.0,12.0,13.0,13.0,12.0,11.0,11.0,14.0,13.0,11.0,13.0,10.0,12.0,15.0,13.0,14.0,10.0,14.0,12.0,12.0,11.0,12.0,11.0,12.0,10.0,421010316002
16.0,12.0,9.0,14.0,15.0,7.0,9.0,10.0,10.0,13.0,17.0,12.0,11.0,14.0,10.0,7.0,12.0,15.0,11.0,8.0,10.0,9.0,9.0,14.0,16.0,10.0,11.0,8.0,8.0,8.0,9.0,19.0,13.0,16.0,17.0,10.0,9.0,12.0,11.0,13.0,7.0,8.0,7.0,10.0,8.0,11.0,13.0,10.0,6.0,10.0,9.0,7.0,10.0,11.0,3.0,10.0,9.0,6.0,9.0,19.0,14.0,10.0,11.0,8.0,11.0,21.0,15.0,22.0,21.0,12.0,11.0,13.0,14.0,15.0,16.0,18.0,17.0,15.0,12.0,18.0,15.0,19.0,16.0,16.0,16.0,20.0,11.0,17.0,15.0,16.0,10.0,42.0,34.0,38.0,32.0,27.0,17.0,20.0,17.0,12.0,16.0,16.0,14.0,16.0,14.0,10.0,13.0,16.0,16.0,13.0,13.0,13.0,14.0,12.0,421010329001
40.0,34.0,48.0,46.0,28.0,29.0,26.0,31.0,26.0,39.0,43.0,35.0,21.0,23.0,20.0,24.0,39.0,40.0,35.0,27.0,24.0,21.0,30.0,37.0,36.0,33.0,27.0,27.0,23.0,29.0,35.0,39.0,34.0,24.0,27.0,26.0,31.0,35.0,37.0,29.0,16.0,25.0,26.0,24.0,40.0,40.0,36.0,33.0,26.0,22.0,23.0,35.0,35.0,36.0,18.0,19.0,27.0,19.0,39.0,43.0,33.0,27.0,24.0,30.0,27.0,32.0,40.0,32.0,28.0,26.0,24.0,28.0,35.0,44.0,31.0,42.0,42.0,41.0,36.0,32.0,21.0,34.0,45.0,40.0,42.0,41.0,41.0,47.0,37.0,41.0,38.0,45.0,45.0,43.0,49.0,57.0,44.0,47.0,48.0,48.0,46.0,47.0,45.0,47.0,47.0,46.0,42.0,42.0,41.0,47.0,42.0,53.0,42.0,48.0,421010341002
21.0,10.0,14.0,14.0,8.0,9.0,11.0,13.0,14.0,9.0,13.0,13.0,9.0,8.0,13.0,15.0,11.0,14.0,16.0,12.0,14.0,14.0,13.0,12.0,13.0,14.0,13.0,10.0,8.0,13.0,14.0,23.0,17.0,21.0,18.0,21.0,20.0,25.0,20.0,20.0,23.0,17.0,20.0,12.0,22.0,18.0,14.0,13.0,15.0,10.0,11.0,15.0,15.0,12.0,13.0,13.0,12.0,13.0,11.0,20.0,13.0,13.0,11.0,9.0,10.0,16.0,15.0,14.0,12.0,11.0,14.0,12.0,17.0,12.0,17.0,14.0,12.0,12.0,12.0,14.0,11.0,13.0,9.0,12.0,12.0,12.0,10.0,12.0,9.0,11.0,11.0,16.0,13.0,13.0,18.0,9.0,9.0,8.0,9.0,11.0,10.0,11.0,7.0,14.0,10.0,13.0,10.0,10.0,9.0,7.0,7.0,8.0,8.0,7.0,421010198001
33.0,34.0,39.0,35.0,30.0,27.0,32.0,32.0,32.0,38.0,28.0,30.0,28.0,33.0,32.0,27.0,36.0,31.0,28.0,24.0,22.0,29.0,29.0,39.0,33.0,26.0,30.0,30.0,25.0,27.0,33.0,39.0,36.0,27.0,30.0,32.0,28.0,34.0,33.0,24.0,33.0,30.0,33.0,30.0,35.0,32.0,27.0,30.0,34.0,30.0,31.0,36.0,34.0,27.0,16.0,29.0,33.0,29.0,35.0,38.0,33.0,37.0,36.0,32.0,31.0,38.0,27.0,31.0,30.0,28.0,23.0,30.0,38.0,40.0,28.0,34.0,37.0,31.0,32.0,27.0,27.0,28.0,33.0,38.0,37.0,32.0,41.0,42.0,39.0,37.0,39.0,42.0,46.0,32.0,49.0,48.0,47.0,40.0,42.0,50.0,46.0,44.0,44.0,48.0,40.0,44.0,44.0,39.0,48.0,38.0,38.0,43.0,37.0,41.0,421010315012
14.0,13.0,14.0,21.0,16.0,10.0,15.0,10.0,9.0,18.0,12.0,14.0,14.0,14.0,13.0,15.0,15.0,22.0,14.0,10.0,11.0,11.0,9.0,10.0,16.0,10.0,10.0,11.0,13.0,13.0,11.0,21.0,13.0,14.0,15.0,15.0,15.0,17.0,24.0,17.0,13.0,13.0,15.0,9.0,17.0,11.0,17.0,11.0,11.0,13.0,12.0,13.0,16.0,11.0,8.0,12.0,11.0,10.0,15.0,14.0,11.0,10.0,12.0,10.0,8.0,15.0,15.0,11.0,13.0,12.0,13.0,11.0,10.0,14.0,15.0,13.0,16.0,18.0,13.0,11.0,14.0,14.0,16.0,15.0,19.0,16.0,17.0,17.0,16.0,20.0,16.0,20.0,16.0,20.0,19.0,19.0,17.0,20.0,16.0,16.0,18.0,15.0,16.0,14.0,17.0,20.0,15.0,13.0,19.0,19.0,14.0,14.0,15.0,12.0,421010326001
42.0,39.0,38.0,40.0,40.0,30.0,28.0,32.0,25.0,36.0,40.0,40.0,28.0,25.0,29.0,30.0,35.0,45.0,45.0,27.0,25.0,30.0,28.0,35.0,42.0,41.0,24.0,24.0,22.0,29.0,37.0,57.0,47.0,44.0,46.0,46.0,49.0,49.0,53.0,52.0,32.0,37.0,33.0,36.0,43.0,47.0,45.0,30.0,35.0,40.0,41.0,39.0,45.0,48.0,23.0,28.0,30.0,37.0,44.0,48.0,51.0,32.0,41.0,39.0,35.0,50.0,41.0,43.0,33.0,36.0,33.0,40.0,55.0,52.0,54.0,52.0,50.0,55.0,46.0,45.0,52.0,50.0,49.0,53.0,55.0,44.0,57.0,54.0,47.0,49.0,42.0,54.0,55.0,51.0,56.0,54.0,53.0,54.0,58.0,61.0,49.0,52.0,53.0,53.0,51.0,51.0,48.0,51.0,50.0,55.0,52.0,47.0,54.0,46.0,421010337022
